Benchmark,MSVC Median (us),MSVC Mean (us),MSVC StdDev (us),MSVC CV (%),MSVC-PGO Median (us),MSVC-PGO Mean (us),MSVC-PGO StdDev (us),MSVC-PGO CV (%),Clang Median (us),Clang Mean (us),Clang StdDev (us),Clang CV (%),GCC Median (us),GCC Mean (us),GCC StdDev (us),GCC CV (%)
BM_AuHashMap_Insert_String/32768,1498.06,1494.71,9.54,0.64,1325.89,1328.82,4.01,0.30,1428.39,1428.39,0.66,0.05,1914.57,1918.82,5.83,0.30
BM_AuHashMap_Insert_String/4096,163.22,163.22,0.24,0.15,142.79,142.79,0.10,0.07,153.81,156.54,6.14,3.92,138.11,137.80,0.42,0.30
BM_AuHashMap_Insert_String/512,19.71,19.73,0.09,0.47,16.95,16.92,0.05,0.28,18.26,18.24,0.09,0.47,16.54,16.54,0.00,0.00
BM_AuHashMap_Insert_String/65536,3223.92,3216.59,16.38,0.51,2870.86,2867.72,13.13,0.46,3069.20,3062.22,9.55,0.31,3550.22,3558.25,10.99,0.31
BM_AuHashMap_Insert_String_NoReserve/32768,2469.31,2762.28,401.19,14.52,2221.68,2507.32,396.74,15.82,3243.58,3194.75,669.79,20.97,4248.05,4252.93,10.92,0.26
BM_AuHashMap_Insert_String_NoReserve/4096,276.22,276.22,0.24,0.09,241.95,242.22,1.09,0.45,277.78,277.78,1.57,0.56,251.99,252.59,0.81,0.32
BM_AuHashMap_Insert_String_NoReserve/512,32.26,32.19,0.10,0.30,27.62,27.56,0.09,0.31,32.26,32.19,0.20,0.62,29.51,29.47,0.17,0.58
BM_AuHashMap_Insert_String_NoReserve/65536,6669.66,6707.13,127.07,1.89,6127.45,6127.45,63.69,1.04,6733.02,6798.89,127.81,1.88,7456.43,7448.06,18.73,0.25
BM_AuHashMap_Insert_i32/32768,713.87,715.48,2.20,0.31,223.39,224.12,1.09,0.49,481.10,482.18,1.48,0.31,465.29,465.79,2.12,0.45
BM_AuHashMap_Insert_i32/4096,80.49,80.40,0.20,0.25,24.69,24.72,0.06,0.25,57.75,58.20,0.84,1.45,55.24,55.18,0.26,0.46
BM_AuHashMap_Insert_i32/512,10.16,10.15,0.02,0.25,3.22,3.22,0.02,0.62,7.34,7.33,0.02,0.24,6.94,6.98,0.05,0.73
BM_AuHashMap_Insert_i32/65536,1569.48,1565.99,4.78,0.30,502.23,501.67,1.25,0.25,1752.23,1457.59,408.56,28.03,1742.57,1742.57,6.85,0.39
BM_AuHashMap_Insert_i32_NoReserve/32768,1117.42,1119.93,3.44,0.31,529.47,657.23,285.69,43.47,1142.81,1387.14,343.57,24.77,1514.28,1510.90,4.63,0.31
BM_AuHashMap_Insert_i32_NoReserve/4096,132.57,135.79,6.42,4.73,60.53,60.67,0.71,1.16,132.57,133.30,2.20,1.65,104.35,104.47,0.77,0.74
BM_AuHashMap_Insert_i32_NoReserve/512,17.29,17.25,0.05,0.31,8.58,8.62,0.11,1.33,16.76,16.72,0.11,0.64,13.73,13.72,0.06,0.47
BM_AuHashMap_Insert_i32_NoReserve/65536,2379.71,2771.97,549.16,19.81,1132.89,1131.62,2.85,0.25,2379.71,2779.81,547.89,19.71,3490.05,3486.04,8.97,0.26
BM_AuHashMap_Iterate_i32/32768,10.52,10.54,0.03,0.30,10.61,10.65,0.08,0.75,4.28,4.32,0.08,1.95,5.15,5.12,0.08,1.51
BM_AuHashMap_Iterate_i32/4096,1.30,1.30,0.00,0.30,1.30,1.30,0.01,0.46,0.50,0.50,0.00,0.25,0.62,0.62,0.00,0.30
BM_AuHashMap_Iterate_i32/512,0.17,0.17,0.00,0.30,0.17,0.17,0.00,0.25,0.06,0.06,0.00,0.30,0.08,0.08,0.00,0.00
BM_AuHashMap_Iterate_i32/65536,21.73,21.73,0.00,0.02,21.54,21.51,0.05,0.24,9.94,9.93,0.02,0.25,10.61,10.59,0.03,0.31
BM_AuHashMap_Lookup_String_Hit0/32768,1.84,1.84,0.01,0.31,1.65,1.65,0.00,0.25,1.63,1.67,0.07,4.24,1.70,1.70,0.01,0.68
BM_AuHashMap_Lookup_String_Hit0/4096,1.54,1.54,0.01,0.47,1.37,1.36,0.01,0.93,1.36,1.36,0.01,0.47,1.44,1.44,0.01,0.74
BM_AuHashMap_Lookup_String_Hit0/512,1.49,1.48,0.02,1.14,1.30,1.30,0.01,0.82,1.28,1.30,0.05,3.92,1.36,1.36,0.02,1.34
BM_AuHashMap_Lookup_String_Hit0/65536,1.88,1.88,0.01,0.40,1.70,1.70,0.01,0.31,1.69,1.69,0.00,0.13,1.75,1.75,0.00,0.25
BM_AuHashMap_Lookup_String_Hit100/32768,4.60,4.66,0.11,2.46,4.60,4.61,0.01,0.25,3.35,3.36,0.01,0.30,3.26,3.26,0.00,0.00
BM_AuHashMap_Lookup_String_Hit100/4096,3.49,3.48,0.01,0.32,3.48,3.49,0.02,0.57,2.59,2.59,0.01,0.31,2.59,2.60,0.02,0.59
BM_AuHashMap_Lookup_String_Hit100/512,2.86,2.85,0.01,0.25,2.82,2.82,0.01,0.24,2.19,2.18,0.01,0.31,2.18,2.17,0.02,0.79
BM_AuHashMap_Lookup_String_Hit100/65536,4.73,4.73,0.01,0.25,4.73,4.73,0.02,0.39,3.43,3.43,0.01,0.40,3.35,3.34,0.01,0.30
BM_AuHashMap_Lookup_String_Hit50/32768,3.31,3.31,0.01,0.39,3.22,3.22,0.02,0.51,2.55,2.55,0.01,0.49,2.59,2.59,0.01,0.31
BM_AuHashMap_Lookup_String_Hit50/4096,2.85,2.85,0.01,0.26,2.75,2.75,0.01,0.31,2.21,2.21,0.01,0.42,2.29,2.28,0.01,0.65
BM_AuHashMap_Lookup_String_Hit50/512,2.32,2.32,0.02,0.69,2.24,2.23,0.01,0.67,1.85,1.85,0.01,0.46,1.94,1.93,0.02,0.97
BM_AuHashMap_Lookup_String_Hit50/65536,3.40,3.40,0.01,0.25,3.30,3.31,0.01,0.32,2.62,2.62,0.01,0.38,2.65,2.65,0.01,0.31
BM_AuHashMap_Lookup_i32_Hit0/32768,1.04,1.04,0.01,0.50,0.73,0.73,0.00,0.25,0.68,0.68,0.01,0.74,0.79,0.79,0.00,0.49
BM_AuHashMap_Lookup_i32_Hit0/4096,1.00,1.00,0.01,0.73,0.68,0.68,0.00,0.67,0.60,0.60,0.01,1.20,0.74,0.74,0.01,0.86
